datetime,open,high,low,close
1971-03-10,1.09682,1.09787,1.09257,1.09733
1971-03-11,1.09737,1.10383,1.09685,1.10348
1971-03-12,1.10348,1.10846,1.10167,1.1034
1971-03-13,1.1034,1.10571,1.10202,1.10244
1971-03-14,1.10259,1.1068,1.10154,1.10477
1971-03-15,1.10474,1.10593,1.10304,1.10432
1971-03-16,1.1043,1.10555,1.09851,1.10102
1971-03-17,1.10102,1.1087,1.09267,1.10643
1971-03-18,1.10643,1.11094,1.10553,1.10758
1971-03-19,1.10738,1.10863,1.09932,1.10003
1971-03-20,1.09998,1.10745,1.0990199999999999,1.10725
1971-03-21,1.10723,1.10756,1.1013600000000001,1.10298
1971-03-22,1.10298,1.10734,1.10227,1.10408
1971-03-23,1.10406,1.10675,1.09962,1.10192
1971-03-24,1.1012,1.10253,1.0966,1.09925
1971-03-25,1.09927,1.10239,1.09837,1.10193
1971-03-26,1.10192,1.10228,1.09373,1.09419
1971-03-27,1.09415,1.09673,1.09087,1.09198
1971-03-28,1.09201,1.09586,1.09038,1.09405
1971-03-29,1.09407,1.09476,1.08846,1.08991
1971-03-30,1.08991,1.09427,1.0879,1.09311
1971-03-31,1.09318,1.09635,1.09042,1.0959
1971-04-01,1.09584,1.09992,1.09409,1.0963
1971-04-02,1.0963,1.09983,1.09569,1.09763
1971-04-03,1.09806,1.10006,1.09618,1.09704
1971-04-04,1.09703,1.09959,1.09411,1.0956
1971-04-05,1.0956,1.09901,1.09514,1.0971
1971-04-06,1.09704,1.10338,1.09699,1.1005
1971-04-07,1.10049,1.10627,1.10008,1.10342
1971-04-08,1.10328,1.10427,1.10126,1.10251
1971-04-09,1.10252,1.1046,1.09912,1.1032
1971-04-10,1.1031900000000001,1.10854,1.10225,1.1071
1971-04-11,1.1071,1.11398,1.1065,1.11234
1971-04-12,1.11236,1.11702,1.1114600000000001,1.11699
1971-04-13,1.11625,1.11793,1.11387,1.11487
1971-04-14,1.11487,1.11568,1.11176,1.11243
1971-04-15,1.11242,1.11402,1.11061,1.11297
1971-04-16,1.11296,1.11626,1.1093,1.11037
1971-04-17,1.11036,1.11228,1.1072899999999999,1.10793
1971-04-18,1.1078999999999999,1.11065,1.1076,1.10994
1971-04-19,1.10994,1.11184,1.10735,1.11118
1971-04-20,1.11117,1.11533,1.108,1.11516
1971-04-21,1.11526,1.11756,1.11314,1.11514
1971-04-22,1.11514,1.11718,1.11281,1.11641
1971-04-23,1.11694,1.11753,1.11247,1.11272
1971-04-24,1.11269,1.11401,1.10634,1.10742
1971-04-25,1.10742,1.10927,1.10649,1.10658
1971-04-26,1.10658,1.10915,1.10361,1.10497
1971-04-27,1.10492,1.10553,1.10166,1.10188
1971-04-28,1.10199,1.1043,1.10165,1.10323
1971-04-29,1.10323,1.10385,1.10025,1.10088
